id,name,date,category,era,medium,description
rembrandt-1,The Night Watch,1642,Rembrandt,1600s,Oil on canvas,A civic militia company marches out under Captain Frans Banninck Cocq -- famous for its dramatic use of light and shadow.
rembrandt-2,The Anatomy Lesson of Dr. Nicolaes Tulp,1632,Rembrandt,1600s,Oil on canvas,Amsterdam surgeons gather round a cadaver for a public dissection -- one of Rembrandt's earliest group portraits.
rembrandt-3,Christ in the Storm on the Sea of Galilee,1633,Rembrandt,1600s,Oil on canvas,Rembrandt's only seascape -- the disciples struggle against a sudden squall on the Sea of Galilee.
rembrandt-4,Self-Portrait,1659,Rembrandt,1600s,Oil on canvas,One of dozens of self-portraits Rembrandt painted across his life -- this one from a difficult financial period.
rembrandt-5,The Jewish Bride,c. 1665,Rembrandt,1600s,Oil on canvas,"A tender double portrait of a couple, likely biblical figures -- praised for its rich, glowing brushwork."
monet-1,"Impression, Sunrise",1872,Monet,1870s,Oil on canvas,A hazy sunrise over Le Havre harbour -- the painting that gave Impressionism its name.
monet-2,Woman with a Parasol -- Madame Monet and Her Son,1875,Monet,1870s,Oil on canvas,"Monet's wife Camille and son Jean, seen from below against a breezy summer sky."
monet-3,Water Lilies,1917-1919,Monet,1910s-1920s,Oil on canvas,One of roughly 250 water lily paintings Monet made in his garden at Giverny in his later years.
monet-4,Wheatstacks (End of Summer),1890-91,Monet,1890s,Oil on canvas,Part of a series painted at different times of day and year to study how light changes a single subject.
monet-5,"Rouen Cathedral, West Facade, Sunlight",1894,Monet,1890s,Oil on canvas,One of over thirty views of the cathedral's facade Monet painted from a shop window across the square.
van-gogh-1,The Starry Night,1889,Van Gogh,1880s,Oil on canvas,A swirling night sky over a quiet village -- painted from memory at an asylum in Saint-Remy.
van-gogh-2,Sunflowers,1888,Van Gogh,1880s,Oil on canvas,One of several sunflower still lifes Van Gogh painted to decorate the house he shared with Paul Gauguin in Arles.
van-gogh-3,Cafe Terrace at Night,1888,Van Gogh,1880s,Oil on canvas,A lamp-lit cafe terrace in Arles under a starry sky -- notable for using no black paint at all.
van-gogh-4,Bedroom in Arles,1888,Van Gogh,1880s,Oil on canvas,Van Gogh's own bedroom in the Yellow House -- he painted three versions of this same room.
van-gogh-5,Self-Portrait,1889,Van Gogh,1880s,Oil on canvas,"One of around 35 self-portraits Van Gogh painted over his career, often used to practice technique."
hokusai-1,The Great Wave off Kanagawa,c. 1831,Hokusai,1830s,Woodblock print,"A towering wave threatens boats off the coast, with Mount Fuji small in the distance -- probably the most reproduced Japanese artwork ever made."
hokusai-2,"Fine Wind, Clear Morning (Red Fuji)",c. 1831,Hokusai,1830s,Woodblock print,Mount Fuji glows red in early morning light -- part of the same Thirty-six Views of Mount Fuji series as the Great Wave.
hokusai-3,Thunderstorm Beneath the Summit,c. 1831,Hokusai,1830s,Woodblock print,Lightning strikes the base of Mount Fuji while its snow-capped peak stays clear above the clouds.
hokusai-4,Kajikazawa in Kai Province,c. 1830-32,Hokusai,1830s,Woodblock print,"A fisherman balances on rocks with a line, Mount Fuji framed between the cliffs behind him."
hokusai-5,Ejiri in Suruga Province,c. 1830-32,Hokusai,1830s,Woodblock print,A sudden gust of wind scatters papers and hats as travellers cross a windswept plain near Mount Fuji.
